id,player_name,team,position,r0_score,starting_price,hidden_price,breakeven,breakeven_to_hit_hidden_price
1008089,Isaac Quaynor,COL,DEF,95,630000,658000,8,41
1008123,Jake Riccardi,GWS,RUC/FWD,95,715000,736000,30,55
291969,Stephen Coniglio,GWS,MID,94,783000,797000,50,66
998133,Jarrod Berry,BRL,MID,94,892000,897000,78,84
1008454,Connor Budarick,WBD,FWD,94,506000,543000,-22,21
1025034,Oliver Dempsey,GEE,MID,94,763000,779000,44,63
297373,Marcus Bontempelli,WBD,MID,92,1167000,1148000,152,130
298290,Marc Pittonet,CAR,RUC,92,671000,693000,24,49
1002222,James Worpel,GEE,MID,92,775000,788000,51,66
1006126,James Rowbottom,SYD,MID,92,824000,833000,64,74
1000981,Daniel Rioli,GCS,DEF,90,747000,761000,47,63
1032629,Joe Fonti,GWS,DEF,90,521000,553000,-11,26
295584,Bradley Hill,STK,MID/FWD,89,782000,792000,58,69
297566,James Sicily,HAW,DEF,89,830000,836000,70,77
996701,Clayton Oliver,GWS,MID,89,941000,939000,98,95
290799,Tom Liberatore,WBD,MID,88,1044000,1032000,127,113
294305,Lachie Whitfield,GWS,DEF,87,1104000,1086000,144,123
1023266,Finn Callaghan,GWS,MID,86,1038000,1025000,128,113
1023500,Bailey Humphrey,GCS,MID/FWD,86,717000,730000,45,61
998103,Oliver Florent,CAR,MID,85,629000,648000,25,47
1004912,Tom De Koning,STK,RUC,84,889000,887000,92,90
1009253,Lachie Ash,GWS,DEF,84,1050000,1034000,135,116
1014026,Kai Lohmann,BRL,FWD,84,486000,516000,-11,25
1020895,Jai Newcombe,HAW,MID,83,907000,902000,99,94
1012857,Jack Ginnivan,HAW,FWD,82,790000,793000,72,75
1017067,Darcy Wilmot,BRL,DEF,82,835000,835000,83,83
1028515,Jagga Smith,CAR,MID,82,230000,280000,-75,-16
998205,Harry Perryman,COL,DEF,80,660000,672000,41,55
1005992,Joel Jeffrey,GCS,DEF,80,794000,795000,76,77
1006130,Bailey Smith,GEE,MID,80,1220000,1187000,185,146
1012210,Matt Roberts,SYD,DEF,80,868000,864000,94,89
291975,Jarrod Witts,GCS,RUC,79,969000,956000,122,106
991773,Billy Frampton,COL,DEF,79,445000,474000,-13,21
994185,Jordan De Goey,COL,MID/FWD,79,812000,812000,81,81
1007102,Mark O'Connor,GEE,DEF,79,676000,686000,47,59
1017094,Connor Macdonald,HAW,FWD,79,714000,721000,57,65
1027790,Hugo Garcia,STK,MID,79,687000,696000,50,60
1013233,Jack Carroll,STK,MID,78,332000,370000,-41,4
1017396,Mac Andrew,GCS,DEF,78,587000,604000,25,45
1028019,Logan Morris,BRL,FWD,78,605000,620000,30,48
295344,Toby Greene,GWS,FWD,77,850000,845000,94,88
998134,Josh Battle,HAW,DEF,77,737000,740000,66,70
1001028,Jack Silvagni,STK,DEF,77,680000,688000,51,61
1023708,Jaspa Fletcher,BRL,DEF,77,871000,864000,100,92
1012014,Chad Warner,SYD,MID,76,924000,912000,115,101
1028493,Lachie Jaques,WBD,DEF,76,230000,275000,-65,-12
1032108,Cooper Lord,CAR,MID,76,630000,640000,41,53
291800,Tom Stewart,GEE,DEF,75,844000,838000,96,89
294036,George Hewett,CAR,MID,75,1037000,1015000,146,120
1004870,Zach Guthrie,GEE,DEF,75,805000,802000,86,82
1027875,Darcy Wilson,STK,MID/FWD,75,668000,675000,52,60
1029301,Leonardo Lombard,GCS,FWD,75,230000,274000,-63,-11
1020855,Max Hall,STK,FWD,74,694000,698000,60,65
993834,Josh Dunkley,BRL,MID,73,1128000,1096000,174,136
1006059,Keidean Coleman,BRL,DEF,73,559000,574000,26,44
1015507,Nasiah Wanganeen-Milera,STK,DEF,73,1163000,1128000,183,142
1017110,Josh Ward,HAW,MID,73,796000,792000,87,82
1027877,Connor O'Sullivan,GEE,DEF,73,603000,614000,38,51
1017091,Jai Serong,SYD,DEF,72,274000,312000,-47,-2
1023473,Nick Watson,HAW,FWD,72,523000,540000,18,38
298524,Lachie Weller,GCS,MID,71,571000,583000,33,47
993917,Ben Long,GCS,FWD,70,652000,657000,55,61
1000980,Lloyd Meek,HAW,RUC,70,978000,956000,139,114
1020339,Angus Sheldrick,SYD,MID,70,651000,656000,55,60
996708,Bailey Dale,WBD,DEF,69,965000,944000,137,112
1000963,Harry Morrison,HAW,MID,69,744000,741000,80,76
1007881,Wil Powell,GCS,DEF,69,701000,701000,69,69
1023495,Oliver Hollands,CAR,DEF,69,799000,791000,95,85
296254,Jarman Impey,HAW,DEF,68,810000,801000,98,88
1002312,Zac Bailey,BRL,MID/FWD,68,876000,861000,116,98
1004757,Beau McCreery,COL,FWD,68,568000,578000,37,48
1027925,Harvey Thomas,GWS,FWD,68,537000,549000,29,43
1028560,Levi Ashcroft,BRL,MID,68,781000,774000,91,83
993905,Callum Mills,SYD,DEF,67,944000,923000,135,110
998114,Jack Scrimshaw,HAW,DEF,67,564000,573000,38,48
1000887,Mitch Lewis,HAW,FWD,67,420000,441000,0,25
1008436,Kieren Briggs,GWS,RUC,67,738000,734000,81,77
993107,Harry Himmelberg,GWS,DEF,66,820000,808000,105,91
996731,Charlie Curnow,SYD,FWD,66,690000,689000,71,70
1009317,Bruce Reville,BRL,MID,66,461000,478000,12,32
1017124,Ned Long,COL,MID,66,808000,797000,102,89
1020137,Mattaes Phillipou,STK,FWD,66,610000,615000,51,56
298211,Darcy Fort,BRL,RUC,65,726000,721000,82,76
1008224,Riley Bice,SYD,DEF,65,595000,6e+05,49,55
1018018,Cooper Sharman,STK,FWD,65,667000,667000,66,66
295446,Sam Collins,GCS,DEF,64,544000,552000,37,47
298280,Jayden Laverde,GWS,DEF,64,689000,686000,74,71
996059,Harris Andrews,BRL,DEF,64,653000,653000,65,65
1006127,Rhylee West,WBD,FWD,64,688000,685000,74,70
1013257,Sam Clohesy,GCS,MID,64,652000,652000,65,65
1034411,Ty Gallop,BRL,FWD,64,263000,295000,-36,1
1012862,Elijah Hollands,CAR,FWD,63,668000,666000,70,68
1013464,Lawson Humphries,GEE,DEF,63,740000,732000,89,80
1017126,Sam Darcy,WBD,FWD,63,863000,845000,121,100
1021122,Harry Rowston,GWS,MID,63,544000,552000,38,48
291351,Jack Gunston,HAW,FWD,62,777000,765000,100,86
295342,Jake Lloyd,SYD,MID,62,883000,862000,128,103
296733,Mark Blicavs,GEE,RUC,62,744000,735000,91,81
1002404,Aaron Naughton,WBD,FWD,62,753000,743000,94,82
1023272,Mitch Owens,STK,FWD,62,633000,633000,63,63
1027033,Ethan Read,GCS,FWD,62,453000,467000,17,33
1006028,Nick Blakey,SYD,DEF,61,892000,870000,131,106
1007124,Conor Nash,HAW,MID,61,777000,764000,102,87
1008083,Connor Idun,GWS,DEF,61,763000,752000,98,85
1020621,Michael Sellwood,WBD,DEF,61,230000,262000,-40,-2
998130,Ben Ainsworth,CAR,FWD,60,615000,615000,61,61
1009708,Jack Buckley,GWS,DEF,60,579000,581000,53,55
1013268,Alex Davies,GCS,MID,60,611000,611000,61,61
1017057,Campbell Chesser,CAR,MID,60,555000,559000,47,51
297255,Mitch McGovern,CAR,DEF,59,657000,653000,73,69
1008091,Joel Amartey,SYD,FWD,59,534000,539000,43,49
1020097,Ashton Moir,CAR,FWD,59,426000,440000,15,31
993832,Jacob Weitering,CAR,DEF,58,645000,641000,72,67
997100,Will Hayward,CAR,FWD,58,585000,585000,58,58
990704,Patrick Cripps,CAR,MID,57,931000,902000,149,114
1017665,Bodhi Uwland,GCS,DEF,57,662000,656000,78,71
994077,Mabior Chol,HAW,FWD,56,627000,623000,71,66
1009241,Brodie Kemp,CAR,FWD,56,594000,592000,63,60
1013409,James Jordon,SYD,MID,56,597000,595000,63,61
297354,Karl Amon,HAW,DEF,54,930000,899000,153,116
1032650,Zane Zakostelsky,BRL,DEF/RUC,54,230000,256000,-28,3
293801,Jamie Elliott,COL,FWD,53,711000,697000,98,81
295467,Jack Macrae,STK,MID,53,954000,920000,161,121
1000864,Lachlan Bramble,WBD,DEF,53,696000,683000,94,79
1027501,Roan Steele,COL,MID,53,381000,394000,12,28
1027704,Joel Freijah,WBD,MID/FWD,53,748000,731000,107,87
296324,Jesse Hogan,GWS,FWD,52,685000,672000,93,78
993878,Shaun Mannagh,GEE,FWD,52,924000,892000,154,117
1004385,Oscar Allen,BRL,FWD,52,522000,522000,51,51
1015777,Ryan Angwin,GWS,MID,52,695000,682000,95,79
294685,Zac Williams,CAR,FWD,50,643000,632000,85,72
1010708,Sam Butler,HAW,MID/FWD,50,489000,490000,46,47
280965,Steele Sidebottom,COL,MID,49,905000,872000,154,115
1000953,Harry McKay,CAR,FWD,49,821000,795000,133,102
1002235,Cam Rayner,BRL,FWD,49,736000,717000,110,88
1008198,Tom McCartin,SYD,DEF,49,583000,576000,71,63
1027935,Josh Weddle,HAW,DEF,49,731000,712000,110,87
295340,Mason Wood,STK,MID/FWD,48,721000,702000,109,86
990740,Rory Lobb,WBD,DEF,48,578000,571000,71,63
1002227,Jack Higgins,STK,FWD,48,545000,541000,62,58
1008855,Oskar Baker,WBD,DEF/MID,48,590000,582000,74,65
1012860,Oliver Henry,GEE,FWD,48,430000,434000,34,39
1033084,Harry Dean,CAR,DEF,48,342000,354000,11,25
1005144,Massimo D'Ambrosio,HAW,MID,47,739000,718000,115,90
993794,Blake Hardwick,HAW,DEF,46,658000,643000,95,77
1029148,Hugh Boxshall,STK,MID,46,576000,567000,75,64
1032042,Phoenix Gothard,GWS,FWD,46,230000,249000,-15,8
1000937,Jack Henry,GEE,DEF,45,632000,618000,90,74
1009229,Sam De Koning,GEE,DEF,45,586000,576000,78,66
1013230,Logan McDonald,SYD,FWD,45,432000,434000,39,41
290307,Dane Rampe,SYD,DEF,44,582000,571000,79,66
1015515,Oscar Adams,GCS,DEF,44,260000,275000,-4,14
1006314,Dylan Moore,HAW,FWD,43,858000,823000,153,112
1021103,Mitch Knevitt,GEE,MID,43,495000,491000,58,53
1026960,Will Graham,GCS,FWD,42,578000,566000,81,67
1029297,Zeke Uwland,GCS,DEF/MID,42,346000,352000,22,29
996765,Tom Papley,SYD,FWD,41,650000,631000,102,79
997316,Lewis Young,CAR,DEF,41,493000,487000,61,54
296190,Jack Martin,GEE,FWD,40,766000,737000,133,99
1005986,Malcolm Rosas,SYD,FWD,40,350000,354000,26,31
1016433,Shannon Neale,GEE,FWD,40,643000,624000,101,79
1023346,Liam Reidy,CAR,RUC/FWD,40,394000,395000,37,38
1032966,James O'Donnell,WBD,DEF,40,480000,474000,59,52
1006144,Ben King,GCS,FWD,39,528000,518000,73,61
1022915,Edward Allan,COL,MID,38,508000,498000,70,58
1023537,Jhye Clark,GEE,MID,38,451000,446000,55,49
1029456,Cooper Hynes,WBD,FWD,38,267000,275000,9,19
1036123,Sam Davidson,WBD,MID,38,693000,668000,118,88
1006232,Sam Wicks,SYD,DEF,37,587000,570000,92,72
1014038,Callum Brown,GWS,FWD,37,607000,588000,97,75
1002228,Lachie Fogarty,CAR,FWD,36,584000,566000,93,72
1006135,Xavier O'Halloran,GWS,MID,36,603000,584000,97,75
1004364,Liam Ryan,STK,FWD,35,599000,579000,98,75
1012873,Wil Parker,COL,DEF,33,302000,304000,25,28
1023784,Anthony Caminiti,STK,DEF,33,564000,545000,93,70
1027921,Max Gruzewski,GWS,FWD,33,361000,359000,40,38
297504,Daniel McStay,COL,FWD,32,593000,571000,102,76
998782,Buku Khamis,WBD,DEF/FWD,32,501000,487000,78,61
294596,Tim Membrey,COL,FWD,31,543000,525000,90,69
1020586,Arthur Jones,WBD,MID/FWD,31,327000,327000,34,34
295461,Adam Saad,CAR,DEF,30,703000,670000,134,95
992468,Rowan Marshall,STK,RUC,28,1110000,1042000,243,162
999715,Jy Farrar,GCS,FWD,28,565000,542000,101,74
1024982,Oisin Mullin,GEE,DEF/MID,28,489000,472000,82,62
296269,Darcy Gardiner,BRL,DEF,27,437000,424000,69,54
996743,Lewis Melican,SYD,DEF,27,483000,466000,81,61
1009421,Finn Maginness,HAW,FWD,25,513000,492000,92,67
1009392,Jack Buller,COL,FWD,24,481000,462000,85,63
990290,Tom Barrass,HAW,DEF,22,432000,415000,76,56
1000978,Hugh McCluggage,BRL,MID,20,1072000,1e+06,246,161
1013996,Jordan Croft,WBD,FWD,20,478000,456000,91,65
1030433,Alixzander Tauru,STK,DEF,20,442000,423000,82,59
999326,Brad Close,GEE,FWD,18,566000,535000,117,81
1029030,Josaia Delana,GWS,FWD,13,232000,230000,33,31
